Colleges,Rating,Reviews,NIRF_Ranking,City,State,Ownership,Fees,BTech_Courses,MTech_Courses
NIT Meghalaya - National Institute of Technology Meghalaya,4.0,21, 68, Shillong,Meghalaya,Public/Govt,₹5.78 Lakhs,5 ,9 
"Visvesvaraya Technological University, Belagavi",4.8,24, 69, Belgaum,Karnataka,Public/Govt,₹10 Lakhs,18 ,58 
"University of Hyderabad - University of Hyderabad, Hyderabad",4.8,37, 70, Hyderabad,Telangana,Public/Govt,₹2.64 Lakhs,,13 
NIT Raipur - National Institute of Technology Raipur,4.0,184, 71, Raipur,Chhattisgarh,Public/Govt,₹5.49 Lakhs,11 ,
MANIT Bhopal - Maulana Azad National Institute of Technology Bhopal,4.1,140, 72, Bhopal,Madhya Pradesh,Public/Govt,₹5.73 Lakhs,7 ,30 
IIT Bhilai - Indian Institute of Technology Bhilai,4.0,31, 73, Bhilai,Chhattisgarh,Public/Govt,₹8.92 Lakhs,7 ,11 
IIIT Bangalore - International Institute of Information Technology Bangalore,4.8,17, 74, Bangalore,Karnataka,Public/Govt,₹9.20 Lakhs,,2 
"MSRIT Bangalore - Ramaiah Institute of Technology, Bangalore",4.1,129, 75, Bangalore,Karnataka,Private,₹4.49 Lakhs,17 ,11 
"SLIET - Sant Longowal Institute of Engineering and Technology, Longowal",4.5,300, 76, Longowal,Punjab,Public/Govt,₹2.83 Lakhs,15 ,
"COEP Pune - COEP Technological University, Pune",4.3,77, 77, Pune,Maharashtra,Public/Govt,₹2.62 Lakhs,11 ,27 
"Banasthali Vidyapith, Banasthali",4.5,568, 78, Pilani,Rajasthan,Private,₹6.16 Lakhs,10 ,9 
NIT Srinagar - National Institute of Technology Srinagar,3.9,41, 79, Srinagar,Jammu and,Public/Govt,₹5.92 Lakhs,8 ,14 
"RGIPT Amethi - Rajiv Gandhi Institute of Petroleum Technology, Amethi",4.4,37, 80, Amethi,Uttar Pradesh,Public/Govt,₹6.57 Lakhs,13 ,
NIT Kurukshetra - National Institute of Technology Kurukshetra,4.2,197, 81, Kurukshetra,Haryana,Public/Govt,₹6.60 Lakhs,14 ,19 
NIT Agartala - National Institute of Technology Agartala,4.3,94, 82, Agartala,Tripura,Public/Govt,₹5.63 Lakhs,9 ,25 
"SKCET Coimbatore - Sri Krishna College of Engineering and Technology, Coimbatore",4.6,33, 83, Coimbatore,Tamil Nadu,Private,₹2.25 Lakhs,11 ,
"MMMUT Gorakhpur - Madan Mohan Malaviya University of Technology, Gorakhpur",4.2,172, 84, Gorakhpur,Uttar Pradesh,Public/Govt,₹3.32 Lakhs,15 ,13 
"IIIT Delhi - Indraprastha Institute of Information Technology, Delhi",4.4,51, 85, New Delhi,Delhi,Public/Govt,₹8 Lakhs,8 ,10 
"Vel Tech Chennai - Vel Tech Rangarajan Dr Sagunthala R and D Institute of Science and Technology, Chennai",4.1,78, 86, Chennai,Tamil Nadu,Private,₹11.60 Lakhs,40 ,
IIIT Allahabad - Indian Institute of Information Technology Allahabad,4.5,78, 87, Allahabad,Uttar Pradesh,Public/Govt,₹7.25 Lakhs,5 ,13 
"GGSIPU Delhi - Guru Gobind Singh Indraprastha University, Delhi",4.2,116, 89, New Delhi,Delhi,Public/Govt,₹7.44 Lakhs,15 ,6 
"Andhra University College of Engineering, Visakhapatnam",4.7,41, 90, Visakhapatnam,Andhra Pradesh,Public/Govt,,13 ,27 
"Vignan's Foundation for Science Technology and Research, Guntur",4.1,68, 91, Guntur,Andhra Pradesh,Private,₹10.60 Lakhs,39 ,10 
"Shoolini University Solan - Shoolini University of Biotechnology and Management Sciences, Solan",4.4,171, 92, Solan,Himachal Pradesh,Private,₹3.60 Lakhs,25 ,4 
"Christ University - Christ University, Bangalore",4.2,431, 93, Bangalore,Karnataka,Private,₹9.45 Lakhs,,
"Chitkara University - Chitkara University, Patiala",4.2,311, 94, Patiala,Punjab,Private,₹9 Lakhs,17 ,
"Jain Deemed to be University, Bangalore - Jain Deemed to be University, Bangalore",4.1,126, 95, Bangalore,Karnataka,Private,₹12.05 Lakhs,48 ,17 
"CV Raman Global University, Bhubaneswar",3.7,117, 96, Bhubaneswar,Odisha,Private,₹9.14 Lakhs,19 ,11 
NIT Puducherry - National Institute of Technology Puducherry Karaikal,3.7,8, 97, Thiruvettakudy,Puducherry,Public/Govt,₹5.40 Lakhs,5 ,9 
"SR University, Warangal",4.6,13, 98, Warangal,Telangana,Private,₹4.55 Lakhs,15 ,
"RVCE Bangalore - RV College of Engineering, Bangalore",4.2,129, 99, Bangalore,Karnataka,Private,₹3.86 Lakhs,15 ,
"SIT Tumkur - Siddaganga Institute of Technology, Tumkur",3.6,66, 100, Tumkur,Karnataka,Private,₹4.02 Lakhs,13 ,
"JNTUK Kakinada - Jawaharlal Nehru Technological University, Kakinada",4.4,17, 101-150, Kakinada,Andhra Pradesh,Public/Govt,₹2.79 Lakhs,9 ,113 
"Karunya University - Karunya Institute of Technology and Sciences, Coimbatore",3.9,104, 101-150, Coimbatore,Tamil Nadu,Private,₹11.84 Lakhs,53 ,12 
"PEC Chandigarh - Punjab Engineering College, Chandigarh",3.9,127, 101-150, Chandigarh,Chandigarh,Public/Govt,,12 ,19 
"JNTUK Kakinada - Jawaharlal Nehru Technological University, Kakinada",4.4,17, 101-150, Kakinada,Andhra Pradesh,Public/Govt,₹2.79 Lakhs,9 ,113 
"GRIET Hyderabad - Gokaraju Rangaraju Institute of Engineering and Technology, Hyderabad",4.2,107, 101-150, Hyderabad,Telangana,Private,₹5.45 Lakhs,11 ,6 
"TCE Madurai - Thiagarajar College of Engineering, Madurai",4.5,34, 101-150, Madurai,Tamil Nadu,Private,,9 ,
"NIFTEM-T - National Institute of Food Technology, Entrepreneurship and Management, Thanjavur",4.5,2, 101-150, Thanjavur,Tamil Nadu,Public/Govt,₹6.21 Lakhs,,3 
"KPRIET Coimbatore - KPR Institute of Engineering and Technology, Coimbatore",4.6,39, 101-150, Coimbatore,Tamil Nadu,Private,₹1.10 Lakhs,12 ,
NIT Uttarakhand (NIT UK) - National Institute of Technology Uttarakhand,4.3,58, 101-150, Srinagar,Uttarakhand,Public/Govt,₹5.77 Lakhs,5 ,16 
"CIT Coimbatore - Coimbatore Institute of Technology, Coimbatore",4.0,21, 101-150, Coimbatore,Tamil Nadu,Public/Govt,₹1.04 Lakhs,11 ,10 
IIITDM Kancheepuram - Indian Institute of Information Technology Design and Manufacturing Kancheepuram,4.3,11, 101-150, Chennai,Tamil Nadu,Public/Govt,₹6.94 Lakhs,5 ,6 
"Sharda University - Sharda University, Greater Noida",4.3,265, 101-150, Greater Noida,Uttar Pradesh,Private,₹12.76 Lakhs,29 ,
NIT Hamirpur (NITH) - National Institute of Technology Hamirpur,4.5,182, 101-150, Hamirpur,Himachal Pradesh,Public/Govt,,9 ,20 
"HITS Chennai - Hindustan Institute of Technology and Science, Chennai",3.6,61, 101-150, Chennai,Tamil Nadu,Private,,19 ,
"NCU - The NorthCap University, Gurgaon",4.0,155, 101-150, Gurgaon,Haryana,Private,₹12.39 Lakhs,10 ,21 
"PSGITECH Coimbatore - PSG Institute of Technology and Applied Research, Coimbatore",4.9,119, 101-150, Coimbatore,Tamil Nadu,Private,₹3.18 Lakhs,7 ,
"PES University, Bangalore",4.4,146, 101-150, Bangalore,Karnataka,Private,₹19.30 Lakhs,6 ,8 
"Amity University, Kolkata",4.6,72, 101-150, Kadampukur,West Bengal,Private,₹9.99 Lakhs,6 ,
"Sri Sai Ram Engineering College, Chennai",3.9,117, 101-150, Chennai,Tamil Nadu,Private,₹2.20 Lakhs,12 ,7 
NIT Mizoram - National Institute of Technology Mizoram,3.8,6, 101-150, Aizawl,Mizoram,Public/Govt,₹5.92 Lakhs,7 ,
"MIT-WPU Pune - Dr Vishwanath Karad MIT World Peace University, Pune",4.4,33, 101-150, Pune,Maharashtra,Private,₹14.20 Lakhs,37 ,15 
IIITDM Jabalpur - PDPM Indian Institute of Information Technology Design and Manufacturing Jabalpur,4.5,63, 101-150, Jabalpur,Madhya Pradesh,Public/Govt,₹6.45 Lakhs,4 ,13 
"NIET Greater Noida - Noida Institute of Engineering and Technology, Greater Noida",4.2,195, 101-150, Greater Noida,Uttar Pradesh,Private,,14 ,5 
"Mepco Schlenk Engineering College, Sivakasi",3.9,52, 101-150, Sivakasi,Tamil Nadu,Private,₹2.20 Lakhs,9 ,
"GITAM University - GITAM University, Visakhapatnam",4.0,184, 101-150, Visakhapatnam,Andhra Pradesh,Private,₹14.93 Lakhs,11 ,
"VJTI Mumbai - Veermata Jijabai Technological Institute, Mumbai",4.2,83, 101-150, Mumbai,Maharashtra,Public/Govt,₹3.34 Lakhs,9 ,18 
NIT Jamshedpur - National Institute of Technology Jamshedpur,4.4,134, 101-150, Jamshedpur,Jharkhand,Public/Govt,,8 ,25 
"MAKAUT Kolkata - Maulana Abul Kalam Azad University of Technology, Kolkata",4.2,32, 101-150, Kolkata,West Bengal,Public/Govt,,6 ,
"Galgotias University - Galgotias University, Greater Noida",4.2,652, 101-150, Greater Noida,Uttar Pradesh,Private,₹2.01 Lakhs,35 ,22 
IIT Dharwad - Indian Institute of Technology Dharwad,4.5,4, 101-150, Dharwad,Karnataka,Public/Govt,₹9.06 Lakhs,9 ,
"NMIT Bangalore - Nitte Meenakshi Institute of Technology, Bangalore",3.8,58, 101-150, Bangalore,Karnataka,Private,₹4.11 Lakhs,11 ,
"Amity University Gurgaon - Amity University, Gurugram",4.3,211, 101-150, Gurgaon,Haryana,Private,₹5.70 Lakhs,,19 
"Amity University, Jaipur",4.1,200, 101-150, Jaipur,Rajasthan,Private,₹6.70 Lakhs,11 ,
"Panjab University (PUCHD) - Panjab University, Chandigarh",4.2,123, 101-150, Chandigarh,Chandigarh,Public/Govt,,6 ,18 
"Mahindra University, Hyderabad",4.4,12, 101-150, Hyderabad,Telangana,Private,₹20 Lakhs,12 ,
"Nirma University - Nirma University, Ahmedabad",4.1,452, 101-150, Ahmedabad,Gujarat,Private,₹7.91 Lakhs,,
"College of Engineering, Trivandrum",4.5,32, 101-150, Thiruvananthapuram,Kerala,Public/Govt,₹1.13 Lakhs,11 ,27 
"CEC Landran - Chandigarh Engineering College, Landran Campus, Mohali",4.5,111, 101-150, Landran,Punjab,Private,₹5.35 Lakhs,11 ,4 
"CIT Chennai - Chennai Institute of Technology, Chennai",4.5,88, 101-150, Chennai,Tamil Nadu,Private,₹2.20 Lakhs,14 ,5 
