Colleges,Rating,Reviews,NIRF_Ranking,City,State,Ownership,Fees,BTech_Courses,MTech_Courses
"SK Somaiya College, Somaiya Vidyavihar University, Mumbai",4.2,2,Not Mentioned, Mumbai,Maharashtra,Private,₹50 K,,
"Uttar Pradesh State Institute of Forensic Science, Lucknow",,,Not Mentioned, Lucknow,Uttar Pradesh,Public/Govt,,,
"NMV Institute of Science and Technology, NMV University, Chennai",,,Not Mentioned, Chennai,Tamil Nadu,Private,,,
"Sir CV Raman DSEU Dheerpur Campus, Delhi",,,Not Mentioned, Delhi,Delhi,Public/Govt,₹1 Lakhs,,
"JSS University, Noida",,,Not Mentioned, Noida,Uttar Pradesh,Private,₹10.32 Lakhs,,
"Faculty of Technology, University of Delhi, Delhi",,,Not Mentioned, Delhi,Delhi,Public/Govt,₹8.96 Lakhs,,
"JNCT Professional University, Bhopal",,,Not Mentioned, Bhopal,Madhya Pradesh,Private,,,
"Assam Energy Institute, Sivasagar",,,Not Mentioned, Sivasagar,Assam,Public/Govt,₹6.57 Lakhs,,
"Government Polytechnic, Cheriyal",,,Not Mentioned, Cheriyal,Telangana,Public/Govt,,,
"Alard School of Interdisciplinary Research, Pune",,,Not Mentioned, Pune,Maharashtra,Private,₹3 Lakhs,,
"S-Vyasa University Global City Campus, Bengaluru",,,Not Mentioned, Bangalore,Karnataka,Private,₹10.80 Lakhs,,
"Dr H N National College of Engineering, Bangalore",,,Not Mentioned, Bangalore,Karnataka,Private,,,
"Behara College of Engineering and Technology, Visakhapatnam",,,Not Mentioned, Visakhapatnam,Andhra Pradesh,Private,,,
"SV College of Engineering, Puttur",,,Not Mentioned, Puttur,Andhra Pradesh,Private,,,
"Swami Vivekananda School of Diploma, Durgapur",4.4,1,Not Mentioned, Durgapur,West Bengal,Private,₹1.52 Lakhs,,
"NMIMS Navi Mumbai - SVKM's NMIMS School of Business Management, Navi Mumbai",4.5,19,Not Mentioned, Kharghar,Maharashtra,Private,,,
"Sri Guru Angad Dev College, Khadur Sahib",,,Not Mentioned, Tarn Taran,Punjab,Private,,,
"Smt MM Shah Mahila Arts College, Kadi",,,Not Mentioned, Kadi,Gujarat,Private,,,
"Supaul College of Engineering, Supaul",,,Not Mentioned, Supaul,Bihar,Public/Govt,,6 ,
"Katihar Engineering College, Katihar",4.5,2,Not Mentioned, Katihar,Bihar,Public/Govt,,7 ,
"PCE Purnea - Purnea College of Engineering, Purnea",4.4,8,Not Mentioned, Purnea,Bihar,Public/Govt,,7 ,
"Ch Ranbir Singh Government Polytechnic, Hathnikund",,,Not Mentioned, Yamuna Nagar,Haryana,Public/Govt,,,
"Government Polytechnic Education Society, Manesar",5.0,1,Not Mentioned, Manesar,Haryana,Public/Govt,,,
"Government Polytechnic, Jhajjar",,,Not Mentioned, Jhajjar,Haryana,Public/Govt,,,
"Anna University Regional Campus, Coimbatore",3.6,8,Not Mentioned, Coimbatore,Tamil Nadu,Public/Govt,,5 ,2 
"Burdwan Raj College, Burdwan",4.6,13,Not Mentioned, Burdwan,West Bengal,Public/Govt,,,
"Guru Nanak Girls College, Yamuna Nagar",4.5,2,Not Mentioned, Yamuna Nagar,Haryana,Private,,,
"US Ostwal Institute of Architecture, Chittorgarh",,,Not Mentioned, Mangalwad,Rajasthan,Private,,,
"US Ostwal Institute of Technology and Science, Chittorgarh",,,Not Mentioned, Mangalwad,Rajasthan,Private,₹84 K,,
"Rao Birender Singh State Institute of Engineering and Technology, Rewari",3.5,2,Not Mentioned, Rewari,Haryana,Public/Govt,₹1.58 Lakhs,6 ,
"BIT Wardha - Bajaj Institute of Technology, Wardha",4.5,4,Not Mentioned, Wardha,Maharashtra,Private,,4 ,
"Shri Rawatpura Sarkar Institute of Technology, Jabalpur",,,Not Mentioned, Jabalpur,Madhya Pradesh,Private,,5 ,
"Maharishi Kashyap Government Polytechnic, Jattal",,,Not Mentioned, Panipat,Haryana,Public/Govt,₹12.60 K,,
"Central University of Haryana, Mahendergarh",4.4,21,Not Mentioned, Mahendragarh,Haryana,Public/Govt,₹2.41 Lakhs,4 ,
"YBN University, Ranchi",3.7,2,Not Mentioned, Ranchi,Jharkhand,Private,,,
"Centurion University of Technology and Management, Vizianagaram",3.6,11,Not Mentioned, Vizianagaram,Andhra Pradesh,Private,₹6 Lakhs,14 ,
"Capital University, Koderma",4.0,1,Not Mentioned, Koderma,Jharkhand,Private,,7 ,
"Mahatma Gandhi Mission's College of Agricultural Biotechnology, Aurangabad",,,Not Mentioned, Aurangabad,Maharashtra,Private,,,
"Dayanand College of Architecture, Latur",,,Not Mentioned, Latur,Maharashtra,Private,,,
"MIT WPU School of Polytechnic and Skill Development, Pune",,,Not Mentioned, Pune,Maharashtra,Private,₹15.60 Lakhs,,
"Dr YSR Architecture and Fine Arts University, Kadapa",,,Not Mentioned, Kadapa,Andhra Pradesh,Public/Govt,,,
"CG Animation Academy, Pune",,,Not Mentioned, Pune,Maharashtra,Private,,,
"Kohinoor Technical Institute, Mumbai",,,Not Mentioned, Mumbai,Maharashtra,Private,,,
"Gujarat Technological University, School of Engineering and Technology, Ahmedabad",,,Not Mentioned, Ahmedabad,Gujarat,Public/Govt,₹1.60 Lakhs,,4 
"Srimati Techno Institute, Kolkata",,,Not Mentioned, Kolkata,West Bengal,Private,,,
"R and R Education Foundation, Delhi",,,Not Mentioned, New Delhi,Delhi,Public/Govt,,,
"International School of Design, Kandivali West, Mumbai",,,Not Mentioned, Mumbai,Maharashtra,Private,,,
"INS Vishwakarma, Visakhapatnam",,,Not Mentioned, Visakhapatnam,Andhra Pradesh,Public/Govt,,,
"KU School of Engineering Technology and Management, Jorhat",,,Not Mentioned, Jorhat,Assam,Private,₹4.70 Lakhs,,
"Tinsukia Polytechnic, Makum",,,Not Mentioned, Makum,Assam,Public/Govt,,,
"Government Polytechnic, Motihari",,,Not Mentioned, Motihari,Bihar,Public/Govt,,,
"Udalguri Polytechnic, Bhergaon",,,Not Mentioned, Bhergaon Chariali,Assam,Public/Govt,,,
"Shri Phanishwar Nath Renu Engineering College, Araria",5.0,1,Not Mentioned, Araria,Bihar,Public/Govt,,,
"Mulagondla Pakira Reddy Memorial Polytechnic, Guntur",,,Not Mentioned, Guntur,Andhra Pradesh,Private,,,
"Visvesvaraya Technological University Regional Center, Mysuru",,,Not Mentioned, Mysuru,Karnataka,Public/Govt,,,
"All India Shri Shivaji Memorial Society's Polytechnic, Pune",3.5,1,Not Mentioned, Pune,Maharashtra,Private,,,
"Government Polytechnic, Nagpur",4.3,6,Not Mentioned, Nagpur,Maharashtra,Public/Govt,₹31.80 K,,
"Yashwantrao Bhonsale Polytechnic, Sawantwadi",,,Not Mentioned, Charathe,Maharashtra,Private,,,
"Dr DY Patil Polytechnic, Pune",,,Not Mentioned, Pune,Maharashtra,Private,₹1.74 Lakhs,,
"Sant Gajanan Maharaj Rural Polytechnic, Mahagaon",4.2,1,Not Mentioned, Mahagaon,Maharashtra,Private,,,
"Andhra Polytechnic College, Kakinada",5.0,2,Not Mentioned, Kakinada,Andhra Pradesh,Public/Govt,,,
"Government Polytechnic, Kangra",,,Not Mentioned, Kangra,Himachal Pradesh,Public/Govt,,,
"JSS Polytechnic For Women, Mysore",,,Not Mentioned, Mysuru,Karnataka,Private,,,
"Raibag Polytechnic, Raibag",,,Not Mentioned, Belgaum,Karnataka,Private,,,
"BT Patil and Sons Polytechnic, Belgaum",,,Not Mentioned, Belgaum,Karnataka,Private,,,
"Kempegowda Memorial Polytechnic, Tumkur",,,Not Mentioned, Tumkur,Karnataka,Private,,,
"NIT Polytechnic, Nagpur",,,Not Mentioned, Mahurzari,Maharashtra,Private,,,
"Dr TMA Pai Polytechnic, Manipal",,,Not Mentioned, Manipal,Karnataka,Private,,,
"Swami Vivekanand Institute of Polytechnic, Latur",,,Not Mentioned, Latur,Maharashtra,Private,,,
"Bhivrabai Sawant Polytechnic, Pune",,,Not Mentioned, Pune,Maharashtra,Private,₹1.64 Lakhs,,
"Aryabharathi Polytechnic, Tumkur",,,Not Mentioned, Tumkur,Karnataka,Private,,,
"Matoshri Institute of Technology, Dhanore",,,Not Mentioned, Nashik,Maharashtra,Private,,,
"Vidya Vikas Pratishthan Polytechnic, Solapur",,,Not Mentioned, Dongaon,Maharashtra,Private,,,
"Department of Computer Science and Applications, Maharshi Dayanand University, Rohtak",,,Not Mentioned, Rohtak,Haryana,Public/Govt,₹1.46 Lakhs,,
"Department of Electronic Science, Kurukshetra University, Kurukshetra",5.0,1,Not Mentioned, Kurukshetra,Haryana,Public/Govt,,,
"MSME Technology Centre, Rohtak",,,Not Mentioned, Rohtak,Haryana,Public/Govt,₹99.42 K,,
"NITS Polytechnic, Jammu",,,Not Mentioned, Jammu,Jammu and,Private,,,
"Navsarjan School of Technology, Gandhinagar",,,Not Mentioned, Gandhinagar,Gujarat,Private,,,
"Shri Manikrao Patil Rural Polytechnic Aided, Bidar",,,Not Mentioned, Bidar,Karnataka,Private,,,
"Institute of Computer Science, Vikram University, Ujjain",,,Not Mentioned, Ujjain,Madhya Pradesh,Public/Govt,₹26.54 K,,
"Mishri Devi Memorial Polytechnic College, Karauli",,,Not Mentioned, Karauli,Rajasthan,Private,,,
"Maulana Azad National Urdu University Polytechnic, Cuttack",,,Not Mentioned, Cuttack,Odisha,Public/Govt,,,
"Mata Gujri Memorial Polytechnic College, Gurdaspur",,,Not Mentioned, Gurdaspur,Punjab,Private,,,
"Asansol Polytechnic, Bardhaman",,,Not Mentioned, Burdwan,West Bengal,Public/Govt,,,
"Canning Government Polytechnic, South 24 Parganas",,,Not Mentioned, South 24 Parganas,West Bengal,Public/Govt,,,
"Central Calcutta Polytechnic, Kolkata",3.0,1,Not Mentioned, Kolkata,West Bengal,Public/Govt,,,
"Kanyapur Polytechnic, Bardhaman",,,Not Mentioned, Burdwan,West Bengal,Public/Govt,,,
"Mirmadan Mohanlal Government Polytechnic, Nadia",,,Not Mentioned, Nadia,West Bengal,Public/Govt,,,
"Nalhati Government Polytechnic, Birbhum",,,Not Mentioned, Birbhum,West Bengal,Public/Govt,,,
"Department of Computer Science and Engineering, University of Kalyani, Kalyani",,,Not Mentioned, Kalyani,West Bengal,Public/Govt,₹80 K,,
"Itahar Government Polytechnic, Uttar Dinajpur",,,Not Mentioned, North Dinajpur,West Bengal,Public/Govt,,,
"GRD Polytechnic, Dehradun",,,Not Mentioned, Dehradun,Uttarakhand,Private,₹1.85 Lakhs,,
"Sarvodaya Polytechnic College, Azamgarh",,,Not Mentioned, Azamgarh,Uttar Pradesh,Private,₹90.45 K,,
"Shri Vishwanath College of Polytechnic, Sultanpur",,,Not Mentioned, Sultanpur,Uttar Pradesh,Private,₹90.45 K,,
"SS Bapu Institute of Polytechnic College, Ballia",,,Not Mentioned, Ballia,Uttar Pradesh,Private,₹90.45 K,,
"Sant Ravidas Government Polytechnic, Chandauli",,,Not Mentioned, Chandauli,Uttar Pradesh,Public/Govt,₹79.05 K,,
"Saroj College of Engineering and Polytechnic, Lucknow",,,Not Mentioned, Lucknow,Uttar Pradesh,Private,₹84 K,,
"Institute of Leather Technology, Chennai",,,Not Mentioned, Chennai,Tamil Nadu,Public/Govt,,,
"NC Polytechnic, Azamgarh",,,Not Mentioned, Azamgarh,Uttar Pradesh,Private,,,
"RB Gautam Polytechnic College, Hathras",,,Not Mentioned, Hathras,Uttar Pradesh,Private,,,
"Thiru Ramakrishna Nallammai Polytechnic College, Tiruppur",,,Not Mentioned, Tiruppur,Tamil Nadu,Private,,,
"Thirumagal Polytechnic College, Kanchipuram",,,Not Mentioned, Kanchipuram,Tamil Nadu,Private,,,
"Department of Chemical Technology, Dr Babasaheb Ambedkar Marathwada University, Aurangabad",,,Not Mentioned, Aurangabad,Maharashtra,Public/Govt,₹79.20 K,,
"Faculty of Technology, National Defence Academy, Pune",,,Not Mentioned, Pune,Maharashtra,Public/Govt,,,
"Ganga Memorial College of Polytechnic, Nalanda",,,Not Mentioned, Nalanda,Bihar,Private,₹1.90 Lakhs,,
"Meenakshi Krishnan Polytechnic College, Chennai",,,Not Mentioned, Chennai,Tamil Nadu,Private,,,
"Sri Annamalai Polytechnic College, Villupuram",,,Not Mentioned, Padur,Tamil Nadu,Private,,,
"Sita Rajaram Polytechnic College, Karur",,,Not Mentioned, Karur,Tamil Nadu,Private,,,
"SSM Polytechnic College, Namakkal",,,Not Mentioned, Komarapalayam,Tamil Nadu,Private,,,
"Srinivasa Polytechnic College, Pudukkottai",,,Not Mentioned, Keeranur,Tamil Nadu,Private,,,
"Seikalathur Kamatchi Amman Polytechnic College, Sivagangi",,,Not Mentioned, Seikalathur,Tamil Nadu,Private,₹1.05 Lakhs,,
"YRS Polytechnic College, Moga",,,Not Mentioned, Moga,Punjab,Private,₹87.45 K,,
"Mehr Chand Polytechnic College, Jalandhar",,,Not Mentioned, Jalandhar,Punjab,Private,₹94.57 K,,
"Thapar Polytechnic College, Patiala",2.2,2,Not Mentioned, Patiala,Punjab,Private,,,
"Guru Brahmanand Ji Government Polytechnic, Nilokheri",4.0,2,Not Mentioned, Nilokheri Ruralpart,Haryana,Public/Govt,,,
"CDL Government Polytechnic, Sirsa",,,Not Mentioned, Nathusari Chopta,Haryana,Public/Govt,₹8.55 K,,
"Shree Ram Institute of Technical Education, Panchkula",,,Not Mentioned, Haripur,Haryana,Private,,,
"Hindu Institute of Technology, Sonepat",,,Not Mentioned, Sonipat,Haryana,Private,₹93.17 K,,
"BCM Polytechnic, Jhajjar",,,Not Mentioned, Jhajjar,Haryana,Private,,,
"Vidya Sagar Polytechnic, Sangrur",,,Not Mentioned, Daulatpur,Punjab,Private,,,
"HSM Polytechnic, Panipat",,,Not Mentioned, Israna,Haryana,Private,₹81 K,,
"Metis Institute of Polytechnic, Jind",,,Not Mentioned, Safidon,Haryana,Private,,,
"Karnal Institute of Polytechnic, Karnal",,,Not Mentioned, Mehmadpur,Haryana,Private,₹90 K,,
"Shaheed Bhagat Singh Polytechnic For Engineering, Yamunanagar",,,Not Mentioned, Jaroda,Haryana,Private,₹66 K,,
"Shri Shivaji Polytechnic Institute, Parbhani",,,Not Mentioned, Parbhani,Maharashtra,Private,,,
"Government Polytechnic, Jalgaon",4.0,1,Not Mentioned, Jalgaon,Maharashtra,Public/Govt,,,
"KK Wagh College of Agricultural Biotechnology, Nashik",,,Not Mentioned, Nashik,Maharashtra,Private,₹4.30 Lakhs,,
"Shri Gulabrao Deokar College of Architecture, Jalgaon",,,Not Mentioned, Jalgaon,Maharashtra,Private,,,
"University School of Architecture and Planning, Delhi",4.0,3,Not Mentioned, New Delhi,Delhi,Public/Govt,,,
"Vasantdada Patil Pratishthan's Manohar Phalke College of Architecture, Mumbai",,,Not Mentioned, Mumbai,Maharashtra,Private,,,
"Vishwaniketan College of Architecture, Art and Design, Raigad",,,Not Mentioned, Raigad,Maharashtra,Private,,,
"Malda Polytechnic, Malda",5.0,1,Not Mentioned, Malda,West Bengal,Public/Govt,,,
"Rishihood University, Sonipat",,,Not Mentioned, Sonipat,Haryana,Private,₹14.90 Lakhs,,
"New LJ Institute of Engineering and Technology, Ahmedabad",,,Not Mentioned, Ahmedabad,Gujarat,Private,₹3.14 Lakhs,,
"Bir Tikendrajit University, Imphal",,,Not Mentioned, Imphal,Manipur,Private,,,
"SRM Institute of Science and Technology, Tiruchirappalli",4.6,1,Not Mentioned, Tiruchirappalli,Tamil Nadu,Private,₹9 Lakhs,17 ,
"Himalayiya University, Dehradun",4.0,1,Not Mentioned, Dehradun,Uttarakhand,Private,,,
"Vidyashilp University, Bengaluru",,,Not Mentioned, Bangalore,Karnataka,Private,,,
"YWCA Women's Training institute, Delhi",,,Not Mentioned, New Delhi,Delhi,Private,₹42.86 K,,
"YWCA Vocational Training Institute, Delhi",,,Not Mentioned, New Delhi,Delhi,Private,,,
"Faculty of Technology and Engineering, Maharaja Sayajirao University of Baroda, Vadodara",,,Not Mentioned, Vadodara,Gujarat,Public/Govt,,,
"School of Studies in Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",4.0,1,Not Mentioned, Bilaspur,Chhattisgarh,Public/Govt,,,
"Department of Computer Science and Applications, Maharshi Dayanand University, Rohtak",,,Not Mentioned, Rohtak,Haryana,Public/Govt,₹1.46 Lakhs,,
"School of Studies in Electronics and Photonics, Pt Ravishankar Shukla University, Raipur",,,Not Mentioned, Raipur,Chhattisgarh,Public/Govt,,,
"Department of Electronic Science, Kurukshetra University, Kurukshetra",5.0,1,Not Mentioned, Kurukshetra,Haryana,Public/Govt,,,
"Navsarjan School of Technology, Gandhinagar",,,Not Mentioned, Gandhinagar,Gujarat,Private,,,
"Institute of Computer Science, Vikram University, Ujjain",,,Not Mentioned, Ujjain,Madhya Pradesh,Public/Govt,₹26.54 K,,
"Gokaraju Lailavathi Womens Engineering College, Hyderabad",4.0,1,Not Mentioned, Hyderabad,Telangana,Private,₹2.80 Lakhs,,
"Asansol Polytechnic, Bardhaman",,,Not Mentioned, Burdwan,West Bengal,Public/Govt,,,
"Canning Government Polytechnic, South 24 Parganas",,,Not Mentioned, South 24 Parganas,West Bengal,Public/Govt,,,
"Central Calcutta Polytechnic, Kolkata",3.0,1,Not Mentioned, Kolkata,West Bengal,Public/Govt,,,
"Springfields Engineering College, Hyderabad",,,Not Mentioned, Hyderabad,Telangana,Private,,,
"Itahar Government Polytechnic, Uttar Dinajpur",,,Not Mentioned, North Dinajpur,West Bengal,Public/Govt,,,
"GRD Polytechnic, Dehradun",,,Not Mentioned, Dehradun,Uttarakhand,Private,₹1.85 Lakhs,,
